"Date";"Path";"Size_GB";"Size_TB"
"28-01-2026";"D:\Depto\Adm de Vendas";"24";"0,023"
"28-01-2026";"D:\Depto\Almoxarifado";"20,13";"0,02"
"28-01-2026";"D:\Depto\Aplicações";"0,51";"0"
"28-01-2026";"D:\Depto\Comercial";"2,84";"0,003"
"28-01-2026";"D:\Depto\Comitê de Vendas";"0";"0"
"28-01-2026";"D:\Depto\Compras";"0,87";"0,001"
"28-01-2026";"D:\Depto\Conquiscar+1";"0";"0"
"28-01-2026";"D:\Depto\Contabilidade";"173,42";"0,169"
"28-01-2026";"D:\Depto\Controladoria";"18,55";"0,018"
"28-01-2026";"D:\Depto\Controle Comercial";"28,52";"0,028"
"28-01-2026";"D:\Depto\Controle de Qualidade";"40,63";"0,04"
"28-01-2026";"D:\Depto\CTMS";"5,43";"0,005"
"28-01-2026";"D:\Depto\Departamento Pessoal";"9,38";"0,009"
"28-01-2026";"D:\Depto\Director's Report";"0,51";"0,001"
"28-01-2026";"D:\Depto\Diretoria";"5,99";"0,006"
"28-01-2026";"D:\Depto\DVR";"0";"0"
"28-01-2026";"D:\Depto\Eng de Processos";"234,26";"0,229"
"28-01-2026";"D:\Depto\Eng de Produtos";"389,92";"0,381"
"28-01-2026";"D:\Depto\Escola de Pais";"0,2";"0"
"28-01-2026";"D:\Depto\EXCEL";"0,18";"0"
"28-01-2026";"D:\Depto\Exportação";"2,88";"0,003"
"28-01-2026";"D:\Depto\Fabrica";"69,67";"0,068"
"28-01-2026";"D:\Depto\Financeiro";"13,15";"0,013"
"28-01-2026";"D:\Depto\Fiscal";"68,33";"0,067"
"28-01-2026";"D:\Depto\Grupo Doação";"0,01";"0"
"28-01-2026";"D:\Depto\IMC IT";"0,29";"0"
"28-01-2026";"D:\Depto\IMC_Compliance_Aviad_Gilson_Leonardo";"0,02";"0"
"28-01-2026";"D:\Depto\Iscar Brazil_Acc_Fin_Tax";"6,68";"0,007"
"28-01-2026";"D:\Depto\IT";"8,68";"0,008"
"28-01-2026";"D:\Depto\Logistica";"183,75";"0,179"
"28-01-2026";"D:\Depto\Manutencao";"4,04";"0,004"
